DATE,USD_COF_3Y,USD_COF_5Y
6/13/2021,0.004025,0.00854
6/14/2021,0.004225,0.00894
6/15/2021,0.004325,0.00884
6/16/2021,0.004925,0.00974
6/17/2021,0.005225,0.00994
6/18/2021,0.005525,0.00974
6/19/2021,0.005525,0.00974
6/20/2021,0.005525,0.00974
6/21/2021,0.005725,0.00994
6/22/2021,0.005325,0.00964
6/23/2021,0.005725,0.01004
6/24/2021,0.005825,0.01004
6/25/2021,0.005725,0.01014
6/26/2021,0.005725,0.01014
6/27/2021,0.005725,0.01014
6/28/2021,0.005725,0.01004
6/29/2021,0.005725,0.00994
6/30/2021,0.005625,0.00974
7/1/2021,0.005625,0.00984
7/2/2021,0.005425,0.00954
7/3/2021,0.005425,0.00954
7/4/2021,0.005425,0.00954
7/5/2021,0.005425,0.00954
7/6/2021,0.005025,0.00894
7/7/2021,0.004825,0.00864
7/8/2021,0.004325,0.00804
7/9/2021,0.004825,0.00864
7/10/2021,0.004825,0.00864
7/11/2021,0.004825,0.00864
7/12/2021,0.005125,0.00894
7/13/2021,0.005525,0.00934
7/14/2021,0.005125,0.00874
7/15/2021,0.005125,0.00864
7/16/2021,0.005125,0.00874
7/17/2021,0.005125,0.00874
7/18/2021,0.005125,0.00874
7/19/2021,0.004625,0.00784
7/20/2021,0.004625,0.00784
7/21/2021,0.004825,0.00834
7/22/2021,0.004525,0.00794
7/23/2021,0.004625,0.00804
7/24/2021,0.004625,0.00804
7/25/2021,0.004625,0.00804
7/26/2021,0.004625,0.00814
7/27/2021,0.004525,0.00794
7/28/2021,0.004625,0.00804
7/29/2021,0.004425,0.00804
7/30/2021,0.004125,0.00754
7/31/2021,0.004125,0.00754
8/1/2021,0.004125,0.00754
8/2/2021,0.004025,0.00734
8/3/2021,0.004025,0.00724
8/4/2021,0.004125,0.00744
8/5/2021,0.004625,0.00804
8/6/2021,0.004925,0.00844
8/7/2021,0.004925,0.00844
8/8/2021,0.004925,0.00844
8/9/2021,0.005025,0.00864
8/10/2021,0.005425,0.00894
8/11/2021,0.005225,0.00884
8/12/2021,0.005225,0.00894
8/13/2021,0.005025,0.00854
8/14/2021,0.005025,0.00854
8/15/2021,0.005025,0.00854
8/16/2021,0.004825,0.00814
8/17/2021,0.004925,0.00834
8/18/2021,0.004925,0.00854
8/19/2021,0.005125,0.00854
8/20/2021,0.005225,0.00884
8/21/2021,0.005225,0.00884
8/22/2021,0.005225,0.00884
8/23/2021,0.005125,0.00864
8/24/2021,0.005125,0.00874
8/25/2021,0.005325,0.00904
8/26/2021,0.005325,0.00914
8/27/2021,0.004825,0.00864
8/28/2021,0.004825,0.00864
8/29/2021,0.004825,0.00864
8/30/2021,0.004725,0.00844
8/31/2021,0.004825,0.00854
9/1/2021,0.004925,0.00854
9/2/2021,0.004925,0.00854
9/3/2021,0.004925,0.00854
9/4/2021,0.004925,0.00854
9/5/2021,0.004925,0.00854
9/6/2021,0.004925,0.00854
9/7/2021,0.005225,0.00894
9/8/2021,0.005025,0.00884
9/9/2021,0.005025,0.00864
9/10/2021,0.005225,0.00894
9/11/2021,0.005225,0.00894
9/12/2021,0.005225,0.00894
9/13/2021,0.005025,0.00874
9/14/2021,0.005125,0.00874
9/15/2021,0.005125,0.00894
9/16/2021,0.005425,0.00924
9/17/2021,0.005525,0.00964
9/18/2021,0.005525,0.00964
9/19/2021,0.005525,0.00964
9/20/2021,0.005425,0.00924
9/21/2021,0.005625,0.00944
9/22/2021,0.005825,0.00964
9/23/2021,0.006325,0.01044
9/24/2021,0.006525,0.01074
9/25/2021,0.006525,0.01074
9/26/2021,0.006525,0.01074
9/27/2021,0.006525,0.01074
9/28/2021,0.006425,0.01114
9/29/2021,0.006425,0.01104
9/30/2021,0.006225,0.01074
10/1/2021,0.005825,0.01024
10/2/2021,0.005825,0.01024
10/3/2021,0.005825,0.01024
10/4/2021,0.006125,0.01044
10/5/2021,0.006225,0.01064
10/6/2021,0.006325,0.01074
10/7/2021,0.006425,0.01094
10/8/2021,0.006625,0.01124
10/9/2021,0.006625,0.01124
10/10/2021,0.006625,0.01124
10/11/2021,0.006625,0.01124
10/12/2021,0.007125,0.01154
10/13/2021,0.007325,0.01164
10/14/2021,0.006925,0.01124
10/15/2021,0.007725,0.01204
10/16/2021,0.007725,0.01204
10/17/2021,0.007725,0.01204
10/18/2021,0.007925,0.01234
10/19/2021,0.007925,0.01254
10/20/2021,0.007825,0.01244
10/21/2021,0.008425,0.01294
10/22/2021,0.008525,0.01284
10/23/2021,0.008525,0.01284
10/24/2021,0.008525,0.01284
10/25/2021,0.008325,0.01264
10/26/2021,0.008525,0.01284
10/27/2021,0.008425,0.01234
10/28/2021,0.008425,0.01254
10/29/2021,0.008325,0.01264
10/30/2021,0.008325,0.01264
10/31/2021,0.008325,0.01264
11/1/2021,0.008825,0.01294
11/2/2021,0.008325,0.01254
11/3/2021,0.008625,0.01284
11/4/2021,0.007925,0.01204
11/5/2021,0.007525,0.01134
11/6/2021,0.007525,0.01134
11/7/2021,0.007525,0.01134
11/8/2021,0.008425,0.01224
11/9/2021,0.008225,0.01194
11/10/2021,0.009325,0.01334
11/11/2021,0.009325,0.01334
11/12/2021,0.009625,0.01354
11/13/2021,0.009625,0.01354
11/14/2021,0.009625,0.01354
11/15/2021,0.009825,0.01374
11/16/2021,0.009825,0.01384
11/17/2021,0.009625,0.01354
11/18/2021,0.009525,0.01334
11/19/2021,0.009725,0.01334
11/20/2021,0.009725,0.01334
11/21/2021,0.009725,0.01334
11/22/2021,0.010725,0.01454
11/23/2021,0.010725,0.01454
11/24/2021,0.010925,0.01464
11/25/2021,0.010925,0.01464
11/26/2021,0.009325,0.01284
11/27/2021,0.009325,0.01284
11/28/2021,0.009325,0.01284
11/29/2021,0.009425,0.01294
11/30/2021,0.009325,0.01264
12/1/2021,0.009625,0.01264
12/2/2021,0.010325,0.01344
12/3/2021,0.009925,0.01264
12/4/2021,0.009925,0.01264
12/5/2021,0.009925,0.01264
12/6/2021,0.010425,0.01344
12/7/2021,0.011325,0.01404
12/8/2021,0.011225,0.01404
12/9/2021,0.011325,0.01404
12/10/2021,0.011225,0.01394
12/11/2021,0.011225,0.01394
12/12/2021,0.011225,0.01394
12/13/2021,0.011025,0.01364
12/14/2021,0.011425,0.01394
12/15/2021,0.011625,0.01424
12/16/2021,0.010825,0.01354
12/17/2021,0.010925,0.01344
12/18/2021,0.010925,0.01344
12/19/2021,0.010925,0.01344
12/20/2021,0.010525,0.01314
12/21/2021,0.011125,0.01394
12/22/2021,0.010925,0.01364
12/23/2021,0.011125,0.01394
12/24/2021,0.011125,0.01394
12/25/2021,0.011125,0.01394
12/26/2021,0.011125,0.01394
12/27/2021,0.011225,0.01404
12/28/2021,0.011325,0.01414
12/29/2021,0.011625,0.01464
12/30/2021,0.011425,0.01434
12/31/2021,0.011225,0.01414
